,Sector,2015 PRICE VAR [%],Class,Revenue,Revenue Growth,Gross Margin,Operating Income,Net Income,Net Profit Margin,returnOnEquity,returnOnAssets,PE ratio,Price to Sales Ratio,EV to Sales,Debt to Equity,Current ratio,Operating Cash Flow,Free Cash Flow,EPS Diluted Growth,Net Income Growth
SERV,Industrials,47.6853585526069,1,2457000000.0,0.0715,0.4717,359000000.0,-57000000.0,-0.0232,-0.1588,-0.285,0.0,0.9749,2.0405,8.429,1.071,278000000.0,245000000.0,0.9089,0.8876
WNC,Industrials,-3.5859709945928206,0,1863315000.0,0.1392,0.1248,122386000.0,60930000.0,0.0327,0.1559,0.1379,14.0455,0.4576,0.5576,0.8508,2.599,92635000.0,72765000.0,0.2687,0.3095
CSGP,Industrials,14.744904701397711,1,575936000.0,0.3061,0.7274,80878000.0,44869000.0,0.0779,0.0296,0.081,124.0743,10.3142,10.0447,0.2456,5.144,143909000.0,116465000.0,0.3905,0.509
FLS,Industrials,-28.36975153644717,0,4877885000.0,-0.0155,0.3506,785386000.0,513372000.0,0.1052,0.2658,0.2546,15.9547,1.6719,1.8163,0.5979,1.898,594481000.0,463593000.0,0.0909,0.0573
RS,Industrials,-3.1642248707293765,0,10451600000.0,0.1331,0.2508,617400000.0,371500000.0,0.0355,0.0906,0.0903,12.818,0.4577,0.6678,0.5616,4.709,356000000.0,165600000.0,0.1425,0.1552
HEI,Industrials,-6.204712483882378,0,1132311000.0,0.1225,0.3518,203388000.0,121293000.0,0.1071,0.1734,0.3252,29.7971,3.1865,3.4593,0.4705,2.833,190689000.0,174279000.0,0.1775,0.1845
BWXT,Industrials,49.71338558475489,1,1450610000.0,-0.0621,0.2051,-7950000.0,29388000.0,0.0203,0.0294,0.0305,80.2733,1.592,1.6752,0.3004,1.798,80674000.0,4645000.0,-0.9121,-0.9151
WOR,Industrials,3.8393858700550014,1,3126426000.0,0.1968,0.1575,135753000.0,151300000.0,0.0484,0.1778,0.1365,18.3333,0.8912,1.0436,0.7832,2.033,229046000.0,157708000.0,0.1117,0.1089
HTLD,Industrials,-36.64810498034847,0,871355000.0,0.4965,0.6439,98324000.0,84834000.0,0.0974,0.178,0.1508,27.8454,2.7209,2.7293,0.0516,2.2,172453000.0,58746000.0,0.1566,0.2019
NAV,Industrials,-74.12177929720454,0,10806000000.0,0.0029,0.1177,-263000000.0,-619000000.0,-0.0573,0.133,-0.2641,0.0,0.2663,0.6322,-1.1229,1.185,-336000000.0,-570000000.0,0.3196,0.3107
HII,Industrials,14.909144410202956,1,6957000000.0,0.0201,0.2037,655000000.0,338000000.0,0.0486,0.2476,0.1167,16.227999999999998,0.7806,0.8783,1.2234,1.842,755000000.0,590000000.0,0.3243,0.295
MSA,Industrials,-15.393064832596984,0,1133885000.0,0.0196,0.4545,135790000.0,88506000.0,0.0781,0.1658,0.2262,22.4008,1.753,1.8815,0.4715,2.025,107031000.0,76833000.0,-0.0043,0.0029
ACM,Industrials,-1.0543647143398238,0,8356783000.0,0.0249,0.0482,294958000.0,229854000.0,0.0275,0.1051,0.1824,14.3008,0.4018,0.4532,0.4592,1.398,360625000.0,297773000.0,-0.0085,-0.0392
SRCL,Industrials,-8.38650939434407,0,2555601000.0,0.1926,0.4282,556336000.0,326456000.0,0.1277,0.1723,0.5921,34.1354,4.3559,4.9963,0.8756,1.197,448500000.0,362004000.0,0.0646,0.0484
RYI,Industrials,-51.35416780494977,0,3622200000.0,0.0468,0.1639,86400000.0,-25700000.0,-0.0071,0.2038,-0.0202,0.0,0.0878,0.4183,-9.9849,3.139,-73300000.0,-87600000.0,-1.1686,-1.2019
WNS,Industrials,51.11434814140698,1,502621000.0,0.092,0.3481,70057000.0,41647000.0,0.0829,0.1282,0.3647,21.9512,1.8117,,0.2607,1.3730000000000002,81391000.0,61887000.0,0.9268,0.9462
GLNG,Industrials,-53.06013261071637,0,106155000.0,0.0634,0.2755,-45403000.0,-48017000.0,-0.4523,-0.0215,-0.0169,0.0,27.6834,,0.6056,2.044,24873000.0,-1128155000.0,-1.4297,-1.4383
RRD,Industrials,-6.130846349977221,0,7172700000.0,-0.3156,0.2055,213900000.0,117400000.0,0.0164,0.1977,0.0466,9.4972,0.1561,0.5847,6.066,1.425,722700000.0,499100000.0,-0.487,-0.4441
TBI,Industrials,19.369788322306565,1,2174045000.0,0.3027,0.247,81728000.0,65675000.0,0.0302,0.1399,0.2265,14.0683,0.4429,0.4474,0.4248,2.221,47525000.0,30607000.0,0.4324,0.4619
MGRC,Industrials,-26.66015133884137,0,408122000.0,0.0754,0.4465,85360000.0,45709000.0,0.1119999999999999,0.1077,,20.2599,2.281,3.8515,0.7596,,122986000.0,-6894000.0,0.0479,0.0533
SPXC,Industrials,-56.439858487625685,0,1694400000.0,-0.1394,0.2162,304700000.0,393400000.0,0.2322,0.2175,0.4666,2.3316,0.5245,0.8171,0.4053,1.376,76400000.0,57100000.0,1.0044,0.8742
TGI,Industrials,-40.26632378257553,0,3763254000.0,0.0164,0.2263,400004000.0,206256000.0,0.0548,0.0903,0.0995,16.1855,0.9003,1.3045,0.6788,2.783,135137000.0,-71277000.0,-0.3104,-0.3063
R,Industrials,-37.24511318884958,0,6638774000.0,0.0342,0.2087,483006000.0,218341000.0,0.0329,0.12,0.0279,22.4275,0.7418,1.4468,2.6005,0.94,1382818000.0,-379383000.0,-0.0927,-0.0821
GPN,Industrials,60.21171040895259,1,2554236000.0,0.075,0.6272,456597000.0,245286000.0,0.096,0.246,0.306,20.3353,1.944,2.4341,1.8389,1.356,194098000.0,141956000.0,0.2246,0.1349
FLOW,Industrials,-29.44894115636816,0,2769600000.0,-0.0125,0.3381,256800000.0,134500000.0,0.0486,0.0699,0.1802,10.9282,0.6306,0.9411,0.5303,1.616,302600000.0,261900000.0,0.0281,0.0267
DHT,Industrials,13.059551509736178,1,150789000.0,0.733,0.3893,27409000.0,12887000.0,0.0855,0.0191,0.0404,40.6111,1.4079,,0.9799,3.1260000000000003,30621000.0,-264500000.0,1.75,4.1234
AAWW,Industrials,-14.62205345744572,0,1799198000.0,0.0859,0.4629999999999999,175972000.0,106757000.0,0.0593,0.0753,0.0327,12.0833,0.6797,1.5619,1.3528,1.188,273145000.0,-271174000.0,0.1119999999999999,0.1377
DCI,Industrials,-24.00265305100325,0,2473500000.0,0.015,0.3549,355700000.0,260200000.0,0.1052,0.2596,0.2438,21.6704,2.2419,2.2447,0.4297,2.01,317800000.0,221000000.0,0.0732,0.0518
FTAI,Industrials,-98.28955019579512,0,57930000.0,1.9662,0.5301,-4211000.0,7780000.0,0.1343,0.0127,,4684.6667,12.4501,8.7251,0.9649,,-31551000.0,-443986000.0,-0.6739,-0.6866
DSS,Industrials,-62.82608680159474,0,18287496.0,0.0478,0.3608,-46478881.0,-41157052.0,-2.2506,-2.5957,-5.6231,0.0,1.0388,1.3392,0.5168,1.608,-2390238.0,-2671140.0,-13.25,-16.8691
SBLK,Industrials,-90.0326803422903,0,147387000.0,1.1087,0.3161,-1432000.0,-11723000.0,-0.0795,-0.0102,-0.0062,0.0,1.2934,,0.7466,0.959,12819000.0,-504528000.0,-2.5385,-7.3368
CWST,Industrials,45.14563556260885,1,497633000.0,0.0929,0.2874,10858000.0,-23095000.0,-0.0464,2.7471,-0.0601,0.0,0.4103,1.4261,-60.4281,0.789,49642000.0,5207000.0,0.6352,0.5734
AAN,Industrials,-26.64979490357881,0,2695033000.0,0.206,0.8684,146481000.0,78233000.0,0.0289999999999999,0.0639,,28.3056,0.8221,0.9109,0.4954,,-48962000.0,-90495000.0,-0.3165,-0.3517
AJRD,Industrials,-13.719007291746689,0,1602200000.0,0.1626,0.1223,36100000.0,-50000000.0,-0.0312,0.2849,-0.1086,0.0,0.6022,0.9245,-4.457,1.166,150600000.0,14200000.0,-1.4195,-1.3069
MLI,Industrials,-18.072391424805573,0,2364227000.0,0.0953,0.1356,153996000.0,101560000.0,0.043,0.1333,0.107,18.9116,0.8237,0.7769,0.3168,3.954,90605000.0,51432000.0,-0.415,-0.4116
NDSN,Industrials,-16.979863091972042,0,1704021000.0,0.1044,0.5546,367105000.0,246773000.0,0.1448,0.2727,0.4689,19.7294,2.8345,3.2885,0.9018,1.814,288155000.0,244904000.0,0.1228,0.1125
ASC,Industrials,11.257984348109016,1,67326634.0,0.8771,0.4586,5810062.0,1660474.0,0.0247,0.0051,0.0031,171.0,3.2091,,0.6874,2.439,12421127.0,-197265136.0,1.2258,1.4321
LII,Industrials,33.69618386941517,1,3367400000.0,0.0526,0.2682,321000000.0,205800000.0,0.0611,24.5,0.4013,22.1093,1.3563,1.62,110.1905,1.186,184800000.0,97500000.0,0.2478,0.1979
OSG,Industrials,-82.77016864024542,0,440417000.0,-0.5665,0.4274,-18244000.0,-152273000.0,-0.3457,-0.1184,-0.0544,2.5115,2.2495,4.8303,1.2975,5.785,-411482000.0,-422929000.0,0.0,0.7614
JKHY,Industrials,27.32385877719784,1,1173173000.0,0.0593,0.4209,288298000.0,186715000.0,0.1592,0.193,0.7933,27.0136,4.2833,4.2311,0.0094,0.8740000000000001,341659000.0,229992000.0,0.1289,0.114
VRSK,Industrials,20.18133176594843,1,1431100000.0,-0.1032,0.6394,632300000.0,400000000.0,0.2795,1.8953,-4.7329,26.5768,7.3811,8.3551,6.8087,0.499,489400000.0,342600000.0,0.1733,0.1482
ATTO,Industrials,-9.141791079091597,0,2278244000.0,-0.0269,1.0,87556000.0,-42152000.0,-0.0185,-0.0907,-0.0729,0.0,0.3377,,1.4054,1.91,135295000.0,18217000.0,-9.1667,-9.4362
GMLP,Industrials,-53.64279251166558,0,396026000.0,0.203,0.8353,244456000.0,174154000.0,0.4398,0.3261,0.1171,12.6113,3.5917,,2.2533,0.509,276980000.0,275687000.0,0.0693,0.1784
TNK,Industrials,34.164645632421376,1,250002000.0,0.3888,0.4729,65863000.0,60538000.0,0.2422,0.1266,0.0564,7.5522,1.6919,,1.4815,3.0580000000000003,20940000.0,169156000.0,7.6,23.347
CPA,Industrials,-50.73944517510856,0,2705068000.0,0.0371,0.5489999999999999,521087000.0,361669000.0,0.1337,0.1743,0.1427,12.7166,1.6896,,0.5381,1.031,429675000.0,330153000.0,-0.1537,-0.1539
ASTE,Industrials,6.145372685599848,1,975595000.0,0.0457,0.2207,51697000.0,34458000.0,0.0353,0.0582,0.0598,26.0331,0.9239,0.9197,0.0184,3.4130000000000003,18863000.0,-5245000.0,-0.1183,-0.1174
UEPS,Industrials,15.965670997903551,1,581656000.0,0.2864,0.5526,101798000.0,70111000.0,0.1205,0.1587,0.2817,7.5364,0.9818,1.0136,0.1747,1.249,37145000.0,16229000.0,4.3571,4.4027
NMM,Industrials,-72.28834076778111,0,227356000.0,0.1473,0.929,55436000.0,74853000.0,0.3292,0.0999,0.0611,12.1071,3.1775,,0.7689,3.831,171661000.0,15430000.0,-0.4783,0.2686
HSII,Industrials,20.90965918155969,1,513239000.0,0.067,0.9631,26653000.0,6797000.0,0.0132,0.0278,0.0476,62.2973,0.8194,0.4524,0.1206,1.546,56764000.0,53405000.0,0.0571,0.0709
KEX,Industrials,-35.45934046395853,0,2566318000.0,0.1446,0.3396,475467000.0,282006000.0,0.1099,0.1251,0.1008,16.3111,1.7952,2.065,0.318,1.352,438909000.0,83765000.0,0.1104,0.1144
B,Industrials,-2.673369302335381,0,1262006000.0,0.1561,0.3426,179974000.0,118370000.0,0.0938,0.1065,0.1901,17.1343,1.5967,1.9602,0.4539999999999999,2.22,196153000.0,139637000.0,-0.5691,-0.5624
SCHN,Industrials,-31.68207281318789,0,2534926000.0,-0.0313,0.0864,24383000.0,5924000.0,0.0023,0.0077,0.0073,125.6364,0.291,0.4068,0.4143,2.617,141252000.0,102105000.0,1.0208,1.021
NM,Industrials,-54.91854467574856,0,583316000.0,0.1214,0.3256,56000.0,-56203000.0,-0.0964,-0.0487,-0.0258,0.0,0.7346,,1.4183,2.103,56323000.0,-181175000.0,0.4037,0.4847
HSON,Industrials,-5.501610983850415,0,581192000.0,0.0331,0.3834,-17486000.0,-13194000.0,-0.0227,-0.2227,-0.214,0.0,0.1766,0.1181,0.0,1.7719999999999998,-17840000.0,-23186000.0,0.5745,0.5659
GVA,Industrials,17.089789189271702,1,2275270000.0,0.0037,0.1054,65100000.0,25346000.0,0.0111,0.0319,0.0293,58.4923,0.6542,0.5711,0.3485,1.981,43142000.0,28328000.0,1.6809,1.6959
ODFL,Industrials,-23.790499858353144,0,2787897000.0,0.1926,0.7685,441307000.0,267514000.0,0.096,0.1791,0.1414,25.0452,2.3996,2.443,0.1042,1.579,391674000.0,45860000.0,0.2971,0.2979
TGP,Industrials,-66.61113272522918,0,402928000.0,0.0091,0.754,183823000.0,205438000.0,0.5099,0.1336,0.1098,18.6957,7.9181,,1.2814,0.636,191097000.0,2242000.0,-0.0726,-0.0092
ROP,Industrials,21.917446522651662,1,3549494000.0,0.0962,0.5922,999473000.0,646033000.0,0.182,0.1359,0.6493,24.1654,4.4976,4.9458,0.4629,2.408,840441000.0,800209000.0,0.1918,0.2002
RBA,Industrials,-8.24008098361266,0,481097000.0,0.0293,0.8797,125885000.0,90981000.0,0.1891,0.1315,0.1262,31.6353,5.9819,5.7441,0.1715,1.5530000000000002,149019000.0,119424000.0,-0.023,-0.0284
NVGS,Industrials,-32.39227708040575,0,304875000.0,0.2792,0.5923,115462000.0,87737000.0,0.2878,0.1082,0.0682,13.2453,3.8218,,0.6697,1.053,133114000.0,-100563000.0,0.7174,1.0796
ACTG,Industrials,-72.96248272511119,0,130876000.0,0.0025,0.3746,-62155000.0,-66029000.0,-0.5045,-0.1365,-0.381,0.0,6.4874,5.0125,0.0,4.763999999999999,4184000.0,-38671000.0,-0.161,-0.1723
GATX,Industrials,-23.83400425268869,0,1451000000.0,0.0984,0.5273,302400000.0,205000000.0,0.1413,0.156,,12.6462,1.7528,5.0966,3.2394,,449200000.0,-716500000.0,0.2479,0.2109
MSM,Industrials,-29.092380898429628,0,2787122000.0,0.1341,0.4615,383184000.0,236067000.0,0.0847,0.1688,0.2494,23.8915,2.0224,2.1264,0.241,3.11,272406000.0,201789000.0,0.0027,-0.0081
GGG,Industrials,-5.618756417015844,0,1221130000.0,0.1061,0.546,308925000.0,225573000.0,0.1847,0.3785,0.2724,21.7146,3.9656,4.1086,1.0402,4.86,241255000.0,210619000.0,0.0866,0.07
GTLS,Industrials,-47.59265000125227,0,1192952000.0,0.0132,0.3,119164000.0,81864000.0,0.0686,0.093,0.1399,12.7138,0.8739,0.9622,0.2375,2.138,118619000.0,56484000.0,0.0269,-0.0158
SKYW,Industrials,45.048564827694655,1,3237447000.0,-0.0183,0.5875,45556000.0,-24154000.0,-0.0075,-0.0172,-0.0069999999999999,0.0,0.2099,0.5765,1.2467,1.592,290130000.0,-375836000.0,-1.4196,-1.4097
NPO,Industrials,-28.560520377245343,0,1219300000.0,0.0656,0.3418,63400000.0,22000000.0,0.018,0.0353,0.0419,66.0632,1.2347,1.5804,0.987,2.176,32200000.0,-20100000.0,-0.2735,-0.1971
SHLO,Industrials,-65.84094055413576,0,832067000.0,0.1884,0.0917,27938000.0,19915000.0,0.0239,0.1378,0.0526,14.6897,0.3522,0.6609999999999999,1.8684,1.548,29018000.0,-10575000.0,-0.0866,-0.0767
ITT,Industrials,-9.08792089866473,0,2654600000.0,0.0632,0.3264,266400000.0,184500000.0,0.0695,0.1519,0.1414,20.0297,1.3961,1.1767,0.0012,2.11,244700000.0,125900000.0,-0.6238,-0.6223
WCC,Industrials,-42.60183813271719,0,7889626000.0,0.0501,0.2042,466217000.0,275906000.0,0.035,0.1431,0.1878,12.2721,0.4297,0.5974,0.7527,2.209,251156000.0,230608000.0,-0.0133,-0.0019
BRC,Industrials,-11.532455220831244,0,1225034000.0,0.0581,0.4976,-41211000.0,-45968000.0,-0.0375,-0.0627,-0.1502,0.0,1.0926,1.2407,0.3591,1.589,93420000.0,50022000.0,0.6556,0.7025
MCRN,Industrials,-36.10827233081024,0,1211300000.0,0.1774,0.3459,101400000.0,-14800000.0,-0.0122,-0.0384,-0.0301,0.0,1.078,1.7991,2.6303,2.015,37600000.0,-3700000.0,0.4909,0.3984
SFL,Industrials,25.643616109642267,1,327487000.0,0.2091,0.6352,145146000.0,122815000.0,0.375,0.1065,0.0772,10.697,4.021,,1.5949,1.592,132401000.0,-63367000.0,0.2525,0.3768
PMTS,Industrials,6.599998256843376,1,261006000.0,0.3292,0.3131,34371000.0,13302000.0,0.051,-0.6132,0.1373,0.0,1.533,2.6476,-7.8275,2.425,26627000.0,9671000.0,-0.1692,-4.6305
SALT,Industrials,-57.73505269834583,0,48987000.0,,-0.6033,-117488000.0,-116565000.0,-2.3795,-0.0971,-0.0914,0.0,5.3648,,0.0893,17.83,-50340000.0,-701845000.0,,
STB,Industrials,-20.454546378171155,0,489000000.0,,0.23721881390593,16000000.0,1000000.0,0.0020449897750511,,,,,,,,46000000.0,9000000.0,,
GBX,Industrials,-38.686371019139706,0,2203962000.0,0.2548,0.1462,210514000.0,111919000.0,0.0508,0.2189,,18.4484,0.9134,0.5967,0.8959,,135907000.0,65680000.0,9.3902,11.1302
GWR,Industrials,-39.74186358453965,0,1639012000.0,0.0449,0.6909,421571000.0,260755000.0,0.1591,0.1106,0.0673,19.0913,2.9560000000000004,3.9051,0.6851,1.181,491464000.0,167061000.0,-0.0579999999999999,-0.0312
VVI,Industrials,8.082445468237179,1,1064987000.0,0.1171,0.0562,42997000.0,52354000.0,0.0492,0.1561,0.2451,10.2934,0.5024,0.5813,0.4205,1.082,58090000.0,29810000.0,1.4434,1.4289
EGL,Industrials,24.3654828478409,1,1367000000.0,,0.14484272128749,83000000.0,35000000.0,0.025603511338698,,,,,,,,102000000.0,97000000.0,,
ICFI,Industrials,-11.365897961949752,0,1050134000.0,0.1062,0.3763,69362000.0,40030000.0,0.0381,0.0799,0.3117,20.0882,0.757,1.0774,0.6991,1.419,79160000.0,68525000.0,0.0256,0.0178
ACIW,Industrials,8.574330860263627,1,1016149000.0,0.1748,0.5525,138172000.0,67560000.0,0.0665,0.1162,1.2132,34.1864,2.2814,3.0831,1.5341,0.988,160833000.0,143206000.0,0.0943,0.0578
CECE,Industrials,-48.61378606027229,0,263217000.0,0.3339999999999999,0.3223,21663000.0,13077000.0,0.0497,0.0722,0.1555,30.4706,1.5271,1.8785,0.6172,1.837,17665000.0,16514000.0,0.5625,0.9944
III,Industrials,-10.40396221375924,0,209617000.0,-0.0065,0.4078,12678000.0,6178000.0,0.0295,0.1517,0.1613,24.8235,0.7390000000000001,0.8599,1.3108,1.934,7007000.0,4837000.0,0.2308,0.2936
YRCW,Industrials,-35.837103799032775,0,5068800000.0,0.0418,0.0919,45500000.0,-67700000.0,-0.0134,0.1427,-0.0593,0.0,0.1387,0.3239,-2.3401,1.246,28500000.0,-19900000.0,0.6652,-0.0263
KRNT,Industrials,-22.857141494750977,0,66364000.0,0.3435,0.4397,3820000.0,3023000.0,0.0456,0.1562,0.1632,41.1765,6.0549,,0.0,2.114,-337000.0,-2242000.0,1.6364,1.6658
CYD,Industrials,-40.22794972460911,0,2653558605.1017,0.0122,0.2002,124045601.6022,117901194.7046,0.0444,0.1045,0.0209,6.0788,0.0431,,0.3272,0.2612,280772146.0484,25534226.671,0.009,0.0211
MYRG,Industrials,-22.89561929177925,0,943967000.0,0.0457,0.1403,58404000.0,36544000.0,0.0387,0.1133,0.1258,15.8382,0.6031,0.5209,0.0,1.827,54976000.0,16251000.0,0.0497,0.0514
GLDD,Industrials,-52.74463026172442,0,806831000.0,0.1031,0.1146,24063000.0,10295000.0,0.0128,0.0402,0.019,47.5556,0.638,0.9948,1.2902,1.707,48802000.0,-43040000.0,1.2982,1.2996
LIQT,Industrials,-9.821429806856472,0,14561192.0,0.1353,0.144,-5191512.0,-3066068.0,-0.2106,-0.1138,-0.2031,0.0,2.9422,2.5444,0.02,3.583,-5733674.0,-6190106.0,0.5263,0.3649
ENV,Industrials,-38.781785461449694,0,348748000.0,0.4379,0.5697,21252000.0,14174000.0,0.0406,0.0704,0.0749,119.8537,4.8389,4.6538,0.7208,3.669,55997000.0,46438000.0,2.8,2.8727
CAE,Industrials,-11.60579577448067,0,1878752260.3978,-0.0612,0.272,234448462.9295,171790235.0814,0.0914,0.1318,0.1074,19.9697,1.649,,0.8106,1.2667,249457504.5208,121428571.4286,0.2666,0.2688
HXL,Industrials,13.460914954038598,1,1855500000.0,0.1056,0.2742,305800000.0,209400000.0,0.1129,0.1821,0.1301,19.2083,2.1333,2.3194,0.362,2.195,318000000.0,57900000.0,0.1522,0.1144
EME,Industrials,10.338003268549627,1,6424965000.0,0.0144,0.1412,289878000.0,168664000.0,0.0263,0.1191,0.2325,17.5157,0.4483,0.4333,0.2369,1.47,246657000.0,227746000.0,0.3846,0.3625
PHG,Industrials,-9.900061643687192,0,25897094430.9927,-0.1438,0.3836,588377723.9709,502421307.5061,0.0194,0.0382,0.0804,53.2305,1.2673,,0.3801,1.7288,1577481840.1937,-236077481.8402,-0.6881,-0.6875
HEES,Industrials,-34.03728022839566,0,1090412000.0,0.1039,0.3191,143744000.0,55139000.0,0.0506,0.4134,,17.8917,0.9076,2.1695,7.3806,,158318000.0,-138325000.0,0.2381,0.2492
HUBG,Industrials,-11.685876306273046,0,3571126000.0,0.0585,0.1037,83877000.0,51558000.0,0.0144,0.0858,0.0938,27.0071,0.3989,0.3992,0.184,1.587,98541000.0,-20018000.0,-0.2513,-0.254
TWI,Industrials,-63.27223831337192,0,1895527000.0,-0.1239,0.0742,-97625000.0,-80461000.0,-0.0424,-0.1573,-0.0758,0.0,0.3006,0.4701,1.022,2.772,117820000.0,59381000.0,-4.7969,-4.6852
DCO,Industrials,-34.98998469993011,0,742045000.0,0.0073,0.1891,51767000.0,19867000.0,0.0268,0.0774,0.0627,13.8901,0.3729,0.7023,1.1305,2.96,53422000.0,35326000.0,0.7048,0.7461
MMS,Industrials,5.046573115207318,1,1700912000.0,0.2777,0.2658,225308000.0,145440000.0,0.0855,0.2616,0.4187,18.6651,1.5806,1.4884,0.0022,2.007,213600000.0,166452000.0,0.2635,0.2459
ERII,Industrials,35.70057811700028,1,30426000.0,-0.2932,0.5493,-18483000.0,-18705000.0,-0.6148,-0.2675,-0.3405,0.0,8.9854,7.9601,0.0,4.621,-3715000.0,-6277000.0,-5.0,-5.0222
AEGN,Industrials,5.059849551902767,1,1331421000.0,0.2199,0.2103,-19812000.0,-37167000.0,-0.0279,-0.0593,-0.0686,0.0,0.5225,0.6729999999999999,0.6024,2.414,80823000.0,47548000.0,-1.8673,-1.838
PRIM,Industrials,-3.1052211535084795,0,2086194000.0,0.073,0.1131,103792000.0,63156000.0,0.0303,0.1392,0.1217,19.0492,0.5744,0.6102,0.5404,1.59,36101000.0,-46039000.0,-0.0963,-0.0934
ZBRA,Industrials,-10.047783480089723,0,1671000000.0,0.6098,0.4656,89000000.0,32000000.0,0.0192,0.0308,0.0329,120.9531,2.359,3.9999,3.0385,1.754,248000000.0,209000000.0,-0.7605,-0.7612
BGG,Industrials,-12.288113254187529,0,1859060000.0,-0.0018,0.1862,46258000.0,28347000.0,0.0152,0.0422,0.0328,34.678000000000004,0.5142,0.5305,0.3346,2.8710000000000004,127079000.0,67336000.0,1.8082,1.8422
RADA,Industrials,-85.6573698935086,0,21625000.0,-0.0062,0.2932,1493000.0,208000.0,0.0096,0.0586,0.0736,0.0,1.0311,,2.7372,1.002,122000.0,-174000.0,0.9667,1.0789
GOGL,Industrials,-74.94145257587247,0,96715000.0,1.5759,0.4558,19486000.0,15995000.0,0.1654,0.0181,0.0133,14.9013,1.4273,,0.4111,1.848,24864000.0,-356623000.0,3.0267,5.0981
CCRN,Industrials,29.97620805619616,1,617825000.0,0.4096,0.2554,-10468000.0,-31783000.0,-0.0514,-0.2447,-0.4164,0.0,0.6313,0.7432,0.5703,1.958,-4072000.0,-8643000.0,0.3929,0.3884
JBT,Industrials,55.52851144235297,1,984200000.0,0.0535,0.2689,50700000.0,30800000.0,0.0313,0.2584,0.1339,31.5962,0.9723,1.1193,1.4933,1.2919999999999998,77700000.0,42400000.0,-0.0721,-0.0695
CMRE,Industrials,-36.726922939464174,0,483995000.0,0.1684,0.7354,214684000.0,115087000.0,0.2378,0.1434,0.0519,12.7609,2.7216,,2.2016,0.544,243270000.0,177282000.0,0.0147,0.016
AIT,Industrials,-7.752817550177145,0,2459878000.0,-0.0009,0.2793,164358000.0,112821000.0,0.0459,0.141,0.1739,18.8587,0.8615,0.9019,0.2133,2.874,110110000.0,90797000.0,-0.0396,-0.0451
SNX,Industrials,18.257237094921567,1,13839590000.0,0.2761,0.0794,308507000.0,180034000.0,0.013,0.1089,0.1305,15.4208,0.2019999999999999,0.2569,0.593,1.433,-234772000.0,-292149000.0,0.5132,0.1826
ACCO,Industrials,-18.885100473160747,0,1689200000.0,-0.043,0.3137,173600000.0,91600000.0,0.0542,0.1345,0.148,11.1235,0.598,1.0337,1.159,1.97,171700000.0,142100000.0,0.1791,0.1881
ASGN,Industrials,38.26515867017605,1,1724741000.0,0.1324,0.3232,137782000.0,77184000.0,0.0448,0.1217,0.3143,23.0486,1.0073,1.2294,0.6492,2.222,96022000.0,76293000.0,-0.0839,-0.0867
OMAB,Industrials,12.617024723572015,1,252928726.4343,,0.6621,99619490.0312,69643293.0964,0.2753,0.1693,0.0255,25.9183,2.1537,,0.7789,0.2779,109234504.2723,77898887.83399999,,
UHAL,Industrials,37.03453141396263,1,2835252000.0,0.1081,0.4365,630214000.0,342391000.0,0.1208,0.2242,,13.2564,1.6053,2.6233,1.2717,,733966000.0,3776000.0,0.2913,0.2935
VMI,Industrials,-15.277896634982731,0,3123143000.0,-0.0548,0.2588,357716000.0,183976000.0,0.0589,0.1531,0.1148,18.2182,1.0263,1.1576,0.6505,3.507,174096000.0,101073000.0,-0.315,-0.3394
AYR,Industrials,2.164908052295389,1,818602000.0,0.1552,0.9912,362232000.0,100828000.0,0.1232,0.0586,,17.096,2.1129,6.8917,2.2144,,458786000.0,-380713000.0,2.125,2.3856
FCN,Industrials,-9.480284620842612,0,1756212000.0,0.0628,0.3482,147426000.0,58807000.0,0.0335,0.0533,0.1028,26.1014,0.9024,1.1236,0.6342,2.334,135401000.0,96145000.0,6.3333,6.551
WEX,Industrials,-11.873189435338087,0,817647000.0,0.1396,1.0,317329000.0,202211000.0,0.2473,0.1907,,19.0231,4.6902,6.4053,1.2775,,296413000.0,238280000.0,0.356,0.3552
ADES,Industrials,-67.3376110752217,0,16923000.0,0.2737,0.3134,-41814000.0,1387000.0,0.0819999999999999,-1.99,0.1148,379.8333,27.2481,26.551,-22.8264,1.154,-40161000.0,-41698000.0,1.0769,1.0868
BOOM,Industrials,-55.04249520576477,0,202561000.0,0.0025,0.3032,6665000.0,2567000.0,0.0127,0.0166,0.0203,89.0,1.1056,1.1716,0.1471,2.925,23313000.0,1910000.0,-0.617,-0.6026
EXLS,Industrials,60.0641282281893,1,499278000.0,0.0435,0.3339999999999999,34040000.0,32445000.0,0.065,0.0774,0.1286,29.0,1.8887,1.6056,0.1225,3.275,66659000.0,38981000.0,-0.3239,-0.3254
RTRX,Industrials,52.24941435967055,1,28203000.0,0.0,0.9798,-79808000.0,-110938000.0,-3.9336,2.9781,1.5954,0.0,11.5876,13.5737,-2.2489,0.347,-45850000.0,-46513000.0,-0.8156,-2.204
MNTX,Industrials,-52.777780721216935,0,174738000.0,-0.2397,0.204,13058000.0,7103000.0,0.0406,0.0678,0.0636,24.9216,1.0054,1.6129,1.0548,1.977,-1503000.0,-2254000.0,-0.3625,-0.3021
